"","EC","ARS","BQF","BQS","BQS1","BR1F","BRF1","BRF2","BRS1","BRS2","CYF","CYS","EPF","EPS","ESF9","ETS","FAS","MTF","PBS","PFF","PFS","PGF","PGS","PLS","QH2F","QHS1","QHS2","QNF","QNS","RSF","RSS","RVF","SIF","SIS","SLF","SLS","TCF","TCS"
"994","4.1.1.3",109,17,22,29,236,113,272,291,130,28,490,30,46,50,188,134,65,21,111,26,31,110,10,1,389,8,94,72,40,30,56,32,43,93,17,82,9
"995","4.1.1.31",97,2,17,NA,326,1281,2350,118,140,133,276,167,233,380,79,106,279,212,267,129,85,371,70,83,1058,115,477,544,160,99,3292,432,177,182,18,481,57
"996","4.1.1.32",2169,16,410,11,1874,3465,3670,849,3154,1790,5958,2207,5505,6337,1768,2705,2510,2987,3664,2267,865,6228,285,141,10211,269,5010,3903,2883,2162,4001,10297,4750,2610,508,3473,835
"997","4.1.1.37",1279,12,333,1,1819,3314,3829,1481,3149,1753,3271,2565,4259,6129,1267,1895,2744,1711,4748,2118,911,3729,4204,15768,18932,3229,4830,7184,1254,1136,3564,8670,3564,1665,339,3105,2200
"998","4.1.1.39",265,8,327,NA,1818,3874,816,1369,1569,3540,872,2549,2455,7039,580,1049,2557,7365,4670,2534,2449,4213,1281,23941,28835,4687,2968,7809,311,256,334,12241,1506,1098,168,1763,720
"999","4.1.1.41",12,NA,39,NA,6,2,6,NA,2,NA,10,18,9,7,4,2,14,NA,64,54,15,127,4,3,NA,2,33,78,18,7,1,1,11,7,NA,25,3
"1000","4.1.1.47",518,3,174,NA,318,201,132,323,176,281,496,166,411,357,63,186,823,115,466,174,352,1609,49,1231,302,1781,861,448,162,124,133,290,489,401,58,588,52
"1001","4.1.1.48",641,5,182,1,762,1172,1177,737,1200,667,1732,716,1217,2369,546,779,890,621,1488,597,507,1629,902,4451,8530,1092,1895,1778,666,475,1456,3175,1028,655,120,1055,464
"1002","4.1.1.49",1209,18,208,1,4581,3233,1317,5426,3695,3968,5063,1531,2666,703,1859,5760,2252,146,3671,1351,697,3052,2002,1660,13989,3354,2138,2879,1807,1476,604,498,2731,2348,761,2455,2599
"1003","4.1.1.50",50,895,780,852,639,324,199,674,442,1064,280,293,360,64,66,726,1179,1020,102,41,102,185,3486,64,1071,51,95,148,204,111,50,64,537,277,238,364,1653
"1004","4.1.1.61",511,911,769,867,641,409,441,826,1017,448,1914,542,1028,249,330,876,654,198,1014,462,163,919,778,1801,4323,536,1109,986,625,550,203,197,921,591,228,540,420
"1005","4.1.1.70",7,NA,8,NA,19,3,35,10,268,48,80,748,1041,34,73,111,27,NA,183,90,42,239,10,58,111,121,47,107,871,723,8,66,1492,78,17,56,44
"1006","4.1.1.8",443,2,35,NA,109,47,36,13,78,46,976,67,209,67,324,64,65,164,487,285,42,265,43,5,29,6,753,552,198,119,100,40,60,425,8,271,21
"1007","4.1.1.81",25,NA,NA,NA,19,9,25,6,49,26,2,25,77,7,51,26,20,NA,17,6,2,14,6,6,241,10,6,6,20,14,2,2,45,10,12,7,2
"1008","4.1.1.85",NA,NA,2,NA,15,5,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,6,NA,2,9,NA,NA,4,4,NA,5,7,8,2,NA,2,2,NA,11,NA
"1009","4.1.1.87",33,NA,NA,NA,5,NA,2,1,2,4,9,NA,2,6,1,NA,6,NA,4,2,NA,4,NA,5,NA,5,8,6,1,1,NA,NA,NA,2,NA,6,NA
"1010","4.1.2.13",82,NA,78,NA,302,200,290,30,265,432,380,397,1057,407,49,176,475,62,779,564,213,606,227,921,6899,2110,1866,1362,666,683,168,408,536,335,189,482,172
"1011","4.1.2.14",NA,NA,NA,NA,8,5,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,16,NA,NA,1,NA,NA,NA,NA,3,NA
"1012","4.1.2.17",36,NA,2,1,16,5,2,6,7,NA,50,13,32,16,2,24,25,4,23,10,7,42,12,1,20,9,53,60,13,3,2,12,31,19,2,20,4
"1013","4.1.2.19",NA,NA,NA,NA,21,11,2,NA,NA,NA,NA,3,1,7,NA,NA,NA,NA,10,NA,16,35,NA,1,NA,NA,1,2,5,NA,NA,3,NA,3,NA,16,NA
"1014","4.1.2.20",84,NA,1,NA,66,38,19,7,8,NA,40,27,38,131,33,3,9,13,155,254,17,87,32,NA,171,NA,207,388,58,44,20,172,43,31,2,70,16
"1015","4.1.2.21",1,NA,NA,NA,42,14,4,7,1,4,12,4,4,8,2,NA,30,NA,9,1,8,13,1,NA,16,2,13,45,5,7,3,3,6,9,NA,19,1
"1016","4.1.2.25",2,NA,NA,NA,17,28,21,NA,NA,13,1,4,NA,4,NA,1,5,NA,6,1,1,5,NA,3,NA,4,12,9,NA,1,2,2,1,10,NA,14,2
"1017","4.1.2.29",1,2,NA,NA,36,30,136,19,113,31,21,37,32,32,5,59,49,7,41,19,13,49,10,8,34,19,30,24,54,29,13,14,26,22,61,39,14
"1018","4.1.2.4",221,6,87,6,541,291,366,611,959,894,841,373,822,129,422,1056,1059,20,546,199,91,963,2592,277,1141,657,247,861,533,530,119,88,885,488,306,643,1235
"1019","4.1.2.40",60,NA,21,NA,73,36,44,37,163,151,47,107,224,44,45,133,116,9,160,94,70,199,31,872,76,220,118,112,156,175,50,20,197,60,41,116,47
"1020","4.1.2.50",109,NA,17,NA,70,37,162,11,101,86,204,129,112,62,70,76,109,13,292,98,44,279,8,1460,227,211,95,129,100,56,39,110,121,84,13,236,55
"1021","4.1.2.53",222,NA,3,NA,40,31,55,2,16,24,86,30,33,864,72,16,14,9,113,34,18,54,2,4,17,7,180,127,17,26,50,1255,63,65,11,96,14
"1022","4.1.2.57",NA,NA,NA,NA,17,13,3,11,1,NA,2,NA,2,3,NA,3,1,NA,2,NA,NA,4,NA,NA,2,NA,NA,NA,4,2,1,2,4,1,1,4,NA
"1023","4.1.3.1",1662,14,373,4,2517,3976,1900,2625,1950,2793,4491,1258,2722,5338,997,1642,2949,347,3175,1942,1090,4888,1033,1888,15452,2067,3875,5177,883,684,610,8071,2475,2218,258,2669,1345
"1024","4.1.3.17",195,3,27,NA,139,894,194,24,34,86,332,62,55,1405,135,31,254,25,328,109,246,293,17,1,6,12,472,344,86,59,203,2098,144,162,NA,186,9
"1025","4.1.3.27",894,748,916,908,1572,2159,2343,1543,2631,1330,2699,1741,2818,3410,1195,2097,1781,2178,2940,1395,583,3032,2307,11474,15138,2639,3327,4554,1197,1013,1439,5118,1998,1291,429,1813,1648
"1026","4.1.3.3",NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,2,NA,5,NA
"1027","4.1.3.30",685,1334,1355,1562,264,453,2468,155,319,181,1236,502,337,568,359,373,401,452,1886,477,310,1444,254,317,5422,144,1046,2550,168,123,3229,576,784,503,35,875,191
"1028","4.1.3.34",33,NA,NA,1,43,19,25,5,100,542,36,7,5,NA,9,73,708,148,16,7,1,33,3796,NA,2,1,12,16,18,4,6,NA,8,110,32,273,1543
"1029","4.1.3.36",741,3,195,2,1434,820,696,2222,2795,1338,2113,577,1258,529,835,1827,994,189,1665,877,257,2094,955,1305,6083,1582,1624,2858,1202,961,320,403,1688,1351,280,2111,1489
"1030","4.1.3.38",7,NA,NA,NA,23,19,9,3,4,NA,7,NA,NA,4,NA,2,1,NA,18,2,1,4,7,9,2,2,18,13,2,NA,2,7,5,4,NA,13,1
"1031","4.1.3.39",381,3,17,NA,596,349,281,881,124,519,458,196,208,191,96,318,388,78,474,170,78,175,67,1,265,6,2094,1126,152,75,142,205,106,323,57,439,118
"1032","4.1.3.40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1033","4.1.3.46",124,2,12,NA,305,213,59,257,84,371,261,69,158,1146,98,103,528,8,181,104,100,207,68,27,1300,37,270,332,144,96,48,1648,130,286,63,226,128
"1034","4.1.99.1",60,NA,42,NA,446,207,236,548,474,384,459,503,627,72,167,766,208,9,333,150,57,496,278,256,1288,694,134,684,344,324,74,49,1067,235,89,366,289
"1035","4.1.99.12",618,4,166,1,1231,1123,2005,1123,1995,911,2115,1176,2068,987,690,1791,1410,584,1333,637,325,1697,1847,3553,6948,1051,1175,1925,982,861,2489,1235,2047,843,402,1159,1406
"1036","4.1.99.13",66,7,67,NA,333,1149,1425,99,139,231,395,86,100,2644,12,159,615,272,235,197,643,959,31,190,7162,144,497,241,85,62,2148,3614,701,196,16,511,74
"1037","4.1.99.14",NA,1,NA,NA,12,14,7,1,NA,42,42,1,NA,6,NA,NA,18,16,NA,NA,2,NA,NA,3,NA,5,12,NA,1,2,1,1,2,5,NA,3,3
"1038","4.1.99.17",3854,225,798,188,4354,4911,5917,4499,6154,3937,11450,3678,5068,7695,4049,4419,4722,3208,7359,3323,2257,7649,10987,20025,37232,4556,8021,9222,2410,1900,6188,11269,3998,3334,782,4694,8214
"1039","4.1.99.18",436,1,46,1,529,511,177,664,713,261,825,218,712,701,339,536,370,36,486,307,98,572,60,526,1982,265,704,641,324,185,110,868,475,333,64,318,72
"1040","4.1.99.19",3,NA,NA,NA,29,19,24,15,23,35,33,28,62,28,8,24,45,NA,34,25,16,84,9,3,87,5,24,37,64,62,7,11,23,20,5,44,17
"1041","4.1.99.3",151,34,182,3,847,1249,1324,437,889,1822,1980,705,1287,2586,680,1137,973,711,1959,1093,576,2197,628,5231,14094,1726,2210,2366,682,797,1343,3697,1897,1172,176,1628,862
"1042","4.1.99.5",NA,NA,NA,NA,15,4,10,1,10,84,45,NA,NA,195,NA,19,12,NA,NA,202,NA,NA,NA,3,1254,NA,5,NA,1,NA,NA,99,191,10,NA,10,NA
"1043","4.2.1.1",527,2,57,1,521,1078,454,421,728,278,1162,358,522,271,297,411,501,160,832,532,186,924,186,92,4543,117,1426,1328,371,289,262,239,542,503,81,715,342
"1044","4.2.1.10",631,8,192,2,1638,1682,1699,1790,1952,1459,1746,1165,1981,1328,782,1796,1577,776,1855,910,625,1562,1329,5372,8426,1528,2208,2705,1042,866,1367,1880,1754,1018,305,1562,1093
"1045","4.2.1.104",19,NA,26,2,43,29,17,44,71,20,52,12,18,47,4,11,7,88,28,55,33,93,3,NA,19,NA,25,71,7,6,14,47,33,21,NA,21,NA
"1046","4.2.1.109",NA,NA,NA,NA,23,34,130,36,87,41,44,8,5,11,1,NA,38,2,26,4,8,9,423,11,NA,6,144,34,3,1,6,8,7,22,NA,48,196
"1047","4.2.1.11",6007,428,2151,274,10297,8730,9752,10840,16559,11852,16059,11097,17201,9084,6901,18253,11680,7118,14607,6212,3977,20848,16064,20666,50352,10188,12814,16700,10561,8629,8070,11495,18996,8262,3968,10705,10752
"1048","4.2.1.113",155,13,75,5,774,486,129,916,888,327,1007,188,286,36,290,1740,270,31,562,131,42,926,269,144,1355,291,175,589,185,166,92,20,774,413,214,353,446
"1049","4.2.1.115",355,NA,162,NA,575,545,606,362,1110,675,1477,556,1116,2547,379,780,376,51,1054,374,197,979,730,1313,10521,779,822,1279,829,626,242,4569,712,690,157,829,967
"1050","4.2.1.118",NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"1051","4.2.1.119",41,NA,4,NA,177,84,168,220,246,198,270,199,229,132,114,258,206,17,205,88,144,206,33,330,158,91,503,504,161,121,31,92,264,130,50,180,55
"1052","4.2.1.126",406,3,72,NA,613,556,259,544,765,347,1182,314,656,225,358,1005,295,96,523,259,94,944,150,64,2811,153,403,738,436,530,87,148,827,289,149,328,137
"1053","4.2.1.130",6,4,NA,2,4,30,849,NA,NA,NA,NA,NA,1,46,NA,NA,48,NA,18,NA,11,NA,11,2,NA,NA,86,3,NA,NA,1346,45,1,NA,NA,144,NA
"1054","4.2.1.131",NA,NA,NA,NA,9,4,3,NA,NA,45,51,1,5,60,NA,NA,7,NA,1,2,4,7,NA,1,3,5,3,1,NA,7,2,24,41,9,NA,15,2
"1055","4.2.1.135",428,1,76,NA,699,679,1210,438,1158,529,1063,755,1528,1158,418,1280,499,82,1591,831,274,1172,309,3550,5354,1289,1494,2050,776,704,974,1475,826,546,152,801,326
"1056","4.2.1.137",6,1,5,NA,6,2,2,5,24,3,29,14,6,4,25,24,3,58,13,12,1,83,5,NA,149,1,4,14,15,6,3,2,19,11,3,12,1
"1057","4.2.1.144",48,32,87,29,17,16,7,21,62,2,84,29,63,7,25,49,20,8,32,32,7,75,1,2,26,4,32,27,38,34,6,3,62,20,5,21,9
"1058","4.2.1.147",142,675,462,484,153,74,73,192,274,136,218,238,159,80,65,107,219,16,189,70,51,235,73,5,286,4,909,358,86,82,36,36,147,104,215,132,102
"1059","4.2.1.148",188,NA,27,2,399,167,109,408,406,307,817,389,309,304,365,321,610,77,332,102,115,622,112,32,127,59,752,1003,175,90,86,260,579,438,70,430,97
"1060","4.2.1.149",93,4,35,12,82,49,52,95,169,52,387,91,177,61,160,180,78,11,136,52,23,279,5,3,1211,21,296,165,146,85,43,47,114,118,38,132,13
"1061","4.2.1.150",381,1540,1551,1673,521,351,206,637,869,356,1190,365,529,117,461,1143,394,46,617,265,122,835,147,120,676,216,381,731,465,334,210,108,764,420,545,364,182
"1062","4.2.1.151",NA,NA,NA,NA,47,51,NA,10,NA,497,4,2,4,5,2,3,602,1,1,NA,NA,NA,131,NA,199,1,2,1,NA,NA,8,5,423,36,3,74,110
"1063","4.2.1.153",200,4,5,NA,168,81,40,105,46,272,187,29,33,67,28,52,514,13,217,94,139,130,55,2,1476,8,417,348,52,33,42,44,104,209,55,205,75
"1064","4.2.1.155",48,NA,58,NA,58,406,55,6,18,8,64,28,39,735,37,14,153,8,130,31,79,289,18,5,43,42,233,121,20,20,30,1114,57,54,2,132,16
"1065","4.2.1.17",1085,143,278,132,919,1895,1012,1034,1410,939,2084,539,1317,3036,823,1194,927,97,1340,541,427,1368,485,358,3518,606,1799,2111,843,622,1056,4406,1288,1006,189,1249,466
"1066","4.2.1.2",3566,64,513,28,4917,3056,3452,4565,5605,4156,8110,2115,3362,1536,3834,6877,3842,2377,5236,2159,1543,6845,1191,1526,21028,2422,6276,5783,2880,2154,4735,1180,4623,3864,827,4918,1776
"1067","4.2.1.20",4380,29,1122,6,7988,7496,7342,9129,10708,8403,13270,5965,10912,6914,5338,11042,8904,2948,9084,4028,2483,13822,11857,16678,35736,6183,8717,10021,6435,5334,6576,8758,11490,5333,2520,7169,8508
"1068","4.2.1.24",2448,4305,4493,4103,3755,4198,4088,3966,6562,3822,7120,3496,6686,5509,2978,5050,5045,2444,5908,2840,1548,7453,7715,13823,18688,3323,6328,8612,3170,2735,3361,6968,5766,3106,903,4816,5218
"1069","4.2.1.28",70,NA,23,NA,226,132,44,402,410,50,1310,220,436,25,210,721,69,24,141,31,18,124,23,33,50,98,235,109,293,374,31,18,348,181,107,221,53
"1070","4.2.1.3",6084,11264,12755,12771,12354,7449,7466,14390,9928,10114,18733,4130,8188,5211,4936,15888,7061,5946,11117,4523,3276,15718,4716,2120,42231,3369,10666,13012,5617,5111,11229,5522,9067,7853,1901,9547,6365
"1071","4.2.1.36",381,1295,1262,1157,1831,1322,1080,2316,2905,3258,1458,1205,2342,389,686,3241,3857,575,1486,741,370,2748,3799,1991,7039,898,757,1145,1813,1258,761,300,4511,1210,1265,1424,2959
"1072","4.2.1.39",533,282,214,337,178,74,48,174,356,63,807,85,364,41,187,492,42,28,318,81,35,508,18,20,192,29,239,188,310,311,41,32,283,191,49,149,67
"1073","4.2.1.40",245,3,40,NA,484,2700,322,41,162,111,184,163,296,365,33,173,309,46,704,743,678,286,63,6,4,28,1309,1249,195,179,277,271,131,190,4,420,89
"1074","4.2.1.42",463,76,271,115,570,2078,249,351,141,109,1331,167,312,375,90,414,272,47,687,738,575,690,86,17,205,35,1216,1062,222,212,247,248,152,195,38,480,70
"1075","4.2.1.44",NA,NA,1,NA,4,2,1,NA,1,16,8,3,6,5,3,4,5,2,2,5,24,25,1,3,NA,12,12,7,17,3,3,4,7,11,1,11,4
"1076","4.2.1.45",206,NA,72,NA,118,79,488,9,264,86,241,517,915,199,64,191,136,539,864,605,337,1141,355,538,3569,162,915,3539,454,411,162,125,484,127,51,376,47
"1077","4.2.1.46",1842,478,942,491,2454,3166,5106,1749,4810,3109,4712,3210,5655,5100,1763,3693,3286,2013,6467,2745,1591,6096,3132,21922,19592,5733,6128,8131,3148,2698,5242,6789,4857,2209,812,3656,2120
"1078","4.2.1.47",2866,20,789,2,3518,3246,3050,3286,6384,5075,5629,4654,6731,2471,2829,5567,5695,2991,7494,4136,1966,9594,9716,13009,27306,4361,6306,9971,4347,3637,1381,2465,5453,3276,1072,5002,7222
"1079","4.2.1.53",17,NA,6,NA,6,8,328,1,NA,NA,2,28,46,13,3,NA,22,16,49,7,13,61,5,NA,NA,NA,33,29,23,5,45,14,4,5,NA,51,3
"1080","4.2.1.59",291,2,162,NA,850,1109,746,767,1106,912,1247,663,1292,1132,426,1107,1048,497,1212,632,274,1406,1459,1800,5694,784,1053,1475,472,439,551,2019,1078,576,224,751,745
"1081","4.2.1.6",386,6,24,3,201,100,36,140,243,99,563,147,330,45,132,295,47,21,217,136,132,260,110,25,167,75,650,1221,228,311,83,27,217,150,113,149,35
"1082","4.2.1.68",217,1,3,NA,119,61,27,30,20,35,144,62,130,40,172,11,40,28,178,46,13,104,13,3,707,4,372,211,157,136,45,17,59,196,2,166,6
"1083","4.2.1.7",33,84,144,98,149,280,170,21,71,10,96,52,105,83,49,45,29,31,145,50,70,128,6,6,291,15,130,139,88,119,73,73,116,54,10,73,19
"1084","4.2.1.70",194,NA,78,NA,304,172,128,290,522,254,361,155,439,1875,167,541,260,24,433,162,102,539,213,158,3919,311,555,819,360,298,56,2643,703,263,91,421,290
"1085","4.2.1.77",146,1,22,NA,130,58,58,133,105,98,444,130,298,41,257,87,235,12,211,57,40,356,31,7,26,13,222,101,156,194,35,27,248,244,77,119,79
"1086","4.2.1.8",534,10,109,15,361,262,264,227,229,238,667,156,346,196,152,197,147,69,580,280,268,808,63,14,175,45,898,796,442,352,224,143,188,233,46,510,79
"1087","4.2.1.80",81,NA,1,NA,29,15,43,18,13,50,47,28,15,43,15,1,13,15,62,25,9,21,2,NA,23,3,237,111,26,14,12,41,18,23,NA,79,19
"1088","4.2.1.81",157,5,44,NA,91,123,65,32,124,61,575,81,140,133,139,53,110,61,275,74,638,559,11,2,264,10,384,250,107,78,62,119,90,150,8,185,23
"1089","4.2.1.83",35,2,NA,NA,95,96,36,114,27,169,87,49,98,67,40,109,30,10,80,20,189,52,8,NA,3,3,78,53,68,55,92,57,68,41,1,62,4
"1090","4.2.1.90",59,1255,2133,1465,38,32,117,18,44,1,119,10,38,39,19,79,42,44,66,24,25,222,10,NA,21,1,65,57,35,36,78,19,11,59,16,50,NA
"1091","4.2.1.96",25,NA,15,NA,41,15,15,26,7,47,112,31,45,44,62,22,10,19,65,13,63,132,7,2,28,10,111,50,53,9,31,44,41,34,4,40,5
"1092","4.2.2.1",3,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,4,3,1,20,NA,NA,NA,NA,3,1,NA,NA,1,NA,NA,NA,NA,1,1
"1093","4.2.2.2",NA,NA,NA,NA,8,NA,1,7,10,2,15,10,22,20,3,15,8,NA,32,16,3,5,NA,NA,NA,1,39,5,33,39,1,10,16,16,3,9,17
"1094","4.2.2.21",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,5,NA,NA,NA,NA,NA,2,NA,NA,NA,6,NA
"1095","4.2.2.22",NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,1,5,1,NA,2,3,NA,2,1,NA,NA,NA,NA,NA,NA,1,1,5,7,NA,2,1,NA,2,1,3
"1096","4.2.2.23",69,1,10,NA,94,50,80,59,161,95,314,127,345,239,120,375,115,14,200,160,43,72,18,6,2,35,471,180,355,542,54,178,227,227,98,228,238
"1097","4.2.2.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6,1,NA,NA,NA,NA,3,4,NA,2,NA,NA,NA,NA,9,2,NA,NA,1,NA,NA,NA,NA,2,NA
"1098","4.2.2.8",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,3,NA,2,NA,3,NA,NA,NA,NA,NA,3,NA
"1099","4.2.3.1",1460,2241,2242,2410,3438,4494,3427,3601,5331,3655,2813,2832,4128,5049,1887,6184,4931,1766,4231,1814,668,3465,7667,12460,21668,3641,4224,6313,2089,1414,2734,7398,4430,2164,1464,3432,5487
"1100","4.2.3.118",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"1101","4.2.3.130",NA,NA,NA,NA,21,21,1,NA,NA,11,25,121,124,17,1,NA,7,10,4,6,2,10,NA,NA,1,NA,1,2,172,138,NA,10,60,12,1,2,NA
"1102","4.2.3.3",176,2,75,NA,428,331,239,356,617,439,245,329,573,810,108,787,463,29,385,220,72,1354,163,334,868,750,228,513,402,411,106,1258,1266,242,80,437,218
"1103","4.2.3.37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1104","4.2.3.4",1212,574,842,607,1953,2198,2190,1735,2909,1267,3157,1916,3246,2455,1269,3008,1418,1414,2988,1360,718,3180,788,7186,12603,1846,3296,3547,1488,1336,1900,3371,2694,1433,481,1962,824
"1105","4.2.3.5",1359,807,1300,1069,1936,3188,3159,1488,2333,1316,2958,2216,2918,3802,1666,1582,1954,1801,3848,1759,1193,3502,1164,13875,25293,3040,4979,6073,1307,1042,3882,4644,2504,1592,424,2620,977
"1106","4.2.3.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1107","4.2.3.90",NA,NA,NA,NA,6,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1108","4.2.3.96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1109","4.2.3.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1110","4.2.3.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1111","4.2.99.18",953,8,142,NA,1242,1933,2293,1160,1927,1047,3253,1413,1975,2576,1035,1493,1389,717,2437,1151,625,2864,1333,8065,10125,2023,2977,3838,1069,824,2565,3646,2059,1119,330,1984,854
"1112","4.2.99.20",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,3,NA,1,NA,5,NA
"1113","4.3.1.1",301,1,111,NA,326,211,1213,226,536,74,449,290,751,156,287,341,227,933,886,685,189,1234,122,512,1918,1302,764,1117,427,573,1784,142,559,520,39,665,173
"1114","4.3.1.14",32,NA,2,NA,23,15,30,59,119,33,40,45,177,15,33,66,36,8,139,209,96,96,88,1,20,17,206,934,22,45,16,8,18,22,2,74,39
"1115","4.3.1.15",18,NA,NA,NA,15,38,37,6,6,NA,13,26,34,8,4,4,23,12,25,10,8,12,NA,NA,214,2,20,18,18,6,55,6,13,12,NA,40,1
"1116","4.3.1.19",446,367,356,310,618,1796,1814,267,591,394,1043,921,1179,2219,397,354,777,1810,1999,1044,271,1520,323,7043,12022,1580,2232,3317,207,219,1773,3295,970,753,57,1034,169
"1117","4.3.1.2",13,NA,1,NA,6,1,22,NA,21,16,4,18,30,9,2,1,39,2,26,6,11,27,NA,3,73,15,25,13,15,25,11,1,8,7,7,16,23
"1118","4.3.1.23",35,1,4,NA,171,119,37,276,213,75,404,41,122,24,60,246,65,398,72,42,8,287,20,34,139,59,69,111,105,69,19,14,174,77,35,91,28
"1119","4.3.1.24",81,NA,4,NA,13,6,7,1,13,2,62,16,12,26,9,9,26,NA,36,14,6,21,4,1,2,4,50,25,27,16,NA,8,43,38,7,19,1
"1120","4.3.1.29",10,NA,NA,NA,18,10,NA,1,1,NA,3,2,NA,3,NA,2,NA,NA,NA,1,4,3,NA,NA,NA,NA,4,19,4,NA,1,2,1,3,NA,4,NA
"1121","4.3.2.1",1918,10,493,4,2719,3000,3116,2900,4558,4863,5291,2841,5024,3624,2139,3913,5046,1544,4074,1831,872,4886,5055,9148,19972,2791,4000,5491,2494,2369,2713,4831,5545,2395,778,3112,3408
"1122","4.3.2.2",1832,924,1210,908,4328,4688,5339,4173,7143,4827,6181,4964,7875,5147,2432,6871,5648,1678,6248,2744,1302,5606,8877,16653,23966,4697,6017,8172,4019,3295,4791,7555,7530,2906,1700,4511,5694
"1123","4.3.2.3",2,NA,NA,NA,NA,NA,37,NA,NA,1,9,NA,NA,1,1,2,1,NA,7,NA,4,1,NA,1,NA,NA,1,9,NA,NA,46,2,NA,5,NA,16,NA
"1124","4.3.3.6",1433,2101,1094,1683,4262,2483,1076,5414,4256,3559,4522,2102,3381,309,1669,6862,2616,2975,1689,463,497,4806,1586,708,8031,1205,1325,1823,2708,1991,508,180,4901,2252,1348,2412,2187
"1125","4.3.3.7",372,3,64,NA,484,682,1051,584,1145,700,940,856,1173,968,391,760,1099,702,1224,520,208,847,2573,5063,5905,1008,1266,1564,509,371,1112,1492,807,527,152,833,1639
"1126","4.3.99.3",NA,NA,NA,NA,10,10,62,NA,1,17,48,NA,2,3,NA,1,10,5,6,NA,1,NA,NA,NA,1,NA,4,2,6,2,4,NA,NA,10,NA,2,NA
"1127","4.4.1.15",175,NA,17,NA,230,105,46,245,327,266,245,93,204,33,181,287,108,10,220,61,43,302,135,40,405,60,189,219,181,125,40,24,371,183,75,225,142
"1128","4.4.1.21",NA,NA,NA,NA,38,288,137,1,NA,38,1,14,1,81,NA,NA,28,NA,50,NA,20,NA,6,368,18,30,13,11,4,NA,2,68,31,7,NA,26,16
"1129","4.4.1.24",457,1790,1953,1708,476,271,161,279,1064,187,1033,409,552,218,258,930,108,124,774,449,95,1399,15,30,6850,74,475,395,328,218,80,148,1131,669,60,458,118
"1130","4.4.1.25",55,2,3,NA,68,41,14,107,100,144,225,53,85,42,88,104,130,5,86,27,168,144,45,22,206,60,98,73,70,57,18,33,108,144,29,115,51
"1131","4.4.1.3",1,NA,NA,NA,21,7,11,5,7,62,270,9,17,89,7,NA,7,4,20,6,1,16,2,6,3,37,55,17,20,10,11,86,76,40,NA,51,5
