"","EC","ARS","BQF","BQS","BQS1","BR1F","BRF1","BRF2","BRS1","BRS2","CYF","CYS","EPF","EPS","ESF9","ETS","FAS","MTF","PBS","PFF","PFS","PGF","PGS","PLS","QH2F","QHS1","QHS2","QNF","QNS","RSF","RSS","RVF","SIF","SIS","SLF","SLS","TCF","TCS"
"709","2.8.3.8",13,489,412,544,30,22,59,6,167,2,41,119,292,85,42,44,55,4,106,51,23,106,8,106,443,157,97,91,80,112,20,147,64,25,6,89,26
"710","2.8.4.1",NA,NA,10,NA,3,1,5,NA,3,NA,1,547,151,22,NA,8,777,NA,97,24,68,266,3,NA,NA,NA,42,56,288,154,1,9,164,1,52,101,38
"711","2.8.4.2",5,NA,NA,NA,1,NA,1,4,4,1,2,NA,5,1,1,8,1,NA,2,NA,1,6,1,NA,4,NA,8,2,8,2,3,NA,2,3,6,11,1
"712","2.8.4.3",1215,399,458,344,2819,4106,4340,2319,3891,3056,3524,2746,4076,5652,1153,3098,2983,1672,4661,2136,869,3389,3680,17600,22331,4149,5438,6817,1545,1324,4221,7945,3376,1812,604,3366,2500
"713","2.8.4.4",1066,9,331,NA,1634,3006,3847,1169,2380,1920,3022,2008,2597,4547,827,1217,2706,2171,4044,1657,669,3060,1942,15638,20820,3558,5219,5846,1010,866,4371,7004,2941,1545,211,2743,1173
"714","2.8.4.5",72,7,26,NA,394,200,112,360,358,431,569,117,265,55,74,503,544,47,179,100,34,184,1289,85,1853,185,101,244,213,155,47,40,222,183,73,250,655
"715","2.9.1.1",835,1,135,NA,1105,562,676,1345,2828,949,2717,1057,2282,243,852,2386,666,129,1392,599,235,2033,306,368,3810,591,853,1329,1347,1174,243,194,2296,992,443,781,410
"716","3.1.1.1",499,606,481,567,187,369,703,108,396,77,584,229,441,685,281,163,198,67,463,297,73,661,50,862,1078,250,712,591,268,159,735,787,397,318,28,634,165
"717","3.1.1.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,4,NA,NA,1,NA,3,NA,NA,NA,4,NA
"718","3.1.1.22",140,NA,4,NA,5,7,17,NA,56,2,28,19,24,75,15,1,16,5,85,38,19,10,9,7,2759,19,233,242,13,10,30,42,246,29,NA,87,18
"719","3.1.1.27",18,NA,2,NA,13,NA,3,2,5,5,26,6,5,24,5,4,1,NA,19,4,2,60,NA,NA,1,NA,13,11,12,2,5,23,34,11,2,13,1
"720","3.1.1.29",476,8,129,NA,641,1166,1777,549,1123,607,1360,852,1252,2049,684,795,643,685,1719,825,333,1361,541,5620,9080,1237,1931,3083,548,409,1769,2914,959,576,75,1133,394
"721","3.1.1.3",9,NA,NA,NA,28,95,626,1,22,45,25,8,30,66,9,19,99,2,69,39,56,6,NA,NA,NA,3,119,103,36,11,680,92,29,40,6,140,9
"722","3.1.1.31",NA,1,NA,NA,38,7,10,NA,NA,NA,9,NA,8,2,NA,5,1,5,9,1,4,2,NA,1,NA,NA,2,3,19,NA,2,3,1,9,NA,14,NA
"723","3.1.1.5",NA,NA,1,NA,35,95,29,NA,2,10,3,9,10,15,NA,NA,NA,NA,14,3,6,4,NA,172,33,15,27,10,4,3,3,19,13,3,NA,10,NA
"724","3.1.1.61",466,9,216,NA,876,1971,1705,790,1711,812,866,1414,2898,3370,1096,1267,1137,501,2184,1192,688,2826,559,1311,15456,1640,2292,4809,1084,1329,441,4461,2145,591,287,993,433
"725","3.1.1.72",226,2,8,NA,67,38,16,19,46,9,301,113,203,19,81,55,20,35,135,24,25,94,20,NA,5,2,114,220,113,125,17,15,112,134,14,73,11
"726","3.1.1.73",76,NA,29,NA,24,16,45,35,45,17,193,46,195,12,30,78,21,8,378,278,39,566,26,2,63,25,126,145,166,319,21,17,154,53,22,44,29
"727","3.1.1.77",NA,NA,NA,NA,3,10,121,NA,NA,NA,1,NA,NA,7,NA,NA,10,NA,NA,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,18,NA,NA,NA,NA,22,NA
"728","3.1.1.81",NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,8,3,1,NA,NA,NA,NA,1,NA,4,NA
"729","3.1.1.96",230,NA,86,NA,598,519,1005,582,1111,991,816,655,1057,1230,388,1157,1055,28,633,247,104,746,3194,3527,3752,664,521,595,530,458,1179,1585,1111,520,282,775,1405
"730","3.1.11.1",4,1,5,NA,182,785,363,71,196,43,52,44,19,108,9,1,204,3,181,96,60,79,45,137,NA,54,481,591,28,4,48,52,45,28,NA,186,30
"731","3.1.11.2",11,NA,4,NA,77,270,231,1,1,13,26,32,67,110,1,NA,14,36,9,9,19,6,2,2066,15,180,33,19,28,12,31,126,7,17,NA,108,8
"732","3.1.11.5",281,2,116,3,699,1900,1413,145,770,103,300,602,1213,423,126,228,449,1490,1221,652,266,1023,147,8885,62,1720,1186,1991,580,494,347,320,258,217,39,728,120
"733","3.1.13.1",644,5,205,NA,1148,2071,2323,516,1827,1031,2401,1333,2329,2188,560,987,1494,1117,2853,1267,605,2362,1581,11174,10774,2194,3043,4091,838,690,2006,3140,1432,897,172,1851,953
"734","3.1.13.5",2,NA,1,NA,35,94,30,NA,NA,NA,8,5,2,6,NA,NA,NA,NA,13,NA,7,9,NA,126,NA,12,7,5,12,1,NA,3,NA,6,NA,22,3
"735","3.1.2.12",112,2,50,NA,130,305,1653,3,20,34,324,21,43,717,36,1,172,357,308,92,141,360,10,15,697,72,425,271,79,36,2543,931,83,124,NA,396,31
"736","3.1.2.28",48,2,NA,NA,28,19,60,2,3,73,65,9,39,49,10,1,55,14,106,69,21,53,75,11,10,15,217,283,54,31,19,55,85,56,NA,124,59
"737","3.1.2.30",54,NA,17,1,44,45,55,14,42,59,257,60,93,119,46,48,48,15,103,47,36,155,3,6,84,34,249,98,86,47,54,87,105,77,7,173,6
"738","3.1.2.6",74,3,31,NA,144,373,354,34,198,73,227,144,142,567,43,36,137,116,284,132,52,210,23,588,3671,210,393,345,45,31,442,750,171,125,3,207,35
"739","3.1.21.2",102,NA,47,NA,423,269,289,411,396,360,207,214,533,64,91,586,157,10,320,321,53,468,241,142,546,652,99,226,308,426,49,38,290,227,114,186,221
